pods,file_descriptors,receive_packets,transmit_packets,dropped_packets,cpu_usage_seconds,cpu_throttled_seconds,memory_working_bytes,memory_usage_bytes,carga,fecha
1.0,17.2,7618.1,6897.0,0.0,0.5310095453,6.6674787280,377365.0,4.0,2000.0,2021-06-01 20:08:38.520003
1.0,17.2,7618.1,6897.0,0.0,0.5310095453,6.6674787280,377365.0,4.0,2000.0,2021-06-01 20:08:38.864503
1.0,17.5,7618.1,6897.0,0.0,0.5310095453,6.6674787280,377365.0,4.0,2000.0,2021-06-01 20:08:39.920004
1.0,17.7,7618.1,6897.0,0.0,0.5674434860,6.9618899324,402919.3,4.0,2000.0,2021-06-01 20:08:40.983003
1.0,17.8,7618.1,6897.0,0.0,0.5674434860,6.9618899324,402919.3,4.0,2000.0,2021-06-01 20:08:41.479502
1.0,18.1,7618.1,6897.0,0.0,0.5674434860,6.9618899324,402919.3,4.0,2000.0,2021-06-01 20:08:42.565004
1.0,18.3,9120.4,8254.0,0.0,0.5674434860,6.9618899324,402919.3,4.0,2000.0,2021-06-01 20:08:43.621005
1.0,18.5,11212.4,10152.1,0.0,0.5674434860,6.9618899324,402919.3,4.0,2000.0,2021-06-01 20:08:44.672002
1.0,18.8,11212.4,10152.1,0.0,0.5674434860,6.9618899324,402919.3,4.0,2000.0,2021-06-01 20:08:45.729502
1.0,21.0,11212.4,10152.1,0.0,0.6236985941,7.7574823937,446357.9,4.0,2000.0,2021-06-01 20:08:46.786503
1.0,21.1,11212.4,10152.1,0.0,0.6756583168,8.4915358693,486393.2,4.0,2000.0,2021-06-01 20:08:47.840003
1.0,21.3,11323.4,10474.0,0.0,0.7191315630,8.9037237449,2146346.8,4.0,2000.0,2021-06-01 20:08:48.934503
1.0,21.5,11323.4,10474.0,0.0,0.7191315630,8.9037237449,2146346.8,4.0,2000.0,2021-06-01 20:08:50.000007
1.0,21.6,11323.4,10474.0,0.0,0.7191315630,8.9037237449,2146346.8,4.0,2000.0,2021-06-01 20:08:51.055005
1.0,21.8,11323.4,10474.0,0.0,0.7802237290,9.4142248892,2640544.5,4.0,2000.0,2021-06-01 20:08:52.125506
1.0,19.9,11323.4,10474.0,0.0,0.7491151538,8.9721941346,2619906.3,4.0,2000.0,2021-06-01 20:08:53.180503
1.0,29.5,11323.4,10474.0,0.0,0.8376492705,10.0018665673,4729534.0,4.0,2000.0,2021-06-01 20:08:54.239003
1.0,30.1,11323.4,10474.0,0.0,0.8376492705,10.0018665673,4729534.0,4.0,2000.0,2021-06-01 20:08:55.295502
1.0,30.6,11323.4,10474.0,0.0,0.8376492705,10.0018665673,4729534.0,4.0,2000.0,2021-06-01 20:08:56.349003
1.0,31.2,11323.4,10474.0,0.0,0.8376492705,10.0018665673,4729534.0,4.0,2000.0,2021-06-01 20:08:57.407502
1.0,31.8,11323.4,10474.0,0.0,0.8376492705,10.0018665673,4729534.0,4.0,2000.0,2021-06-01 20:08:58.468502
1.0,32.2,12957.4,11985.4,0.0,0.8376492705,10.0018665673,4729534.0,4.0,2000.0,2021-06-01 20:08:59.542505
1.0,32.4,12957.4,11985.4,0.0,0.8376492705,10.0018665673,4729534.0,4.0,2000.0,2021-06-01 20:09:00.593005
1.0,32.4,12957.4,11985.4,0.0,0.8376492705,10.0018665673,4729534.0,4.0,2000.0,2021-06-01 20:09:01.645502
1.0,32.4,12957.4,11985.4,0.0,0.8376492705,10.0018665673,4729534.0,4.0,2000.0,2021-06-01 20:09:02.700003
1.0,33.1,10930.0,10236.1,0.0,0.7240887874,8.7257039257,5820348.9,4.0,2000.0,2021-06-01 20:09:03.756503
1.0,33.1,10930.0,10236.1,0.0,0.7496943096,8.9394242657,6066875.0,4.0,2000.0,2021-06-01 20:09:04.504632
1.0,0.0,0.1,0.1,0.0,0.0000731983,0.0000000000,0.0,2.0,3000.0,2021-06-01 20:10:04.628003
1.0,0.0,0.1,0.1,0.0,0.0000731983,0.0000000000,0.0,2.0,3000.0,2021-06-01 20:10:05.688503
1.0,0.0,0.1,0.1,0.0,0.0000731983,0.0000000000,0.0,2.0,3000.0,2021-06-01 20:10:06.752005
1.0,0.0,0.1,0.1,0.0,0.0000731983,0.0000000000,0.0,2.0,3000.0,2021-06-01 20:10:06.966505
1.0,0.0,0.1,0.1,0.0,0.0000731983,0.0000000000,0.0,2.0,3000.0,2021-06-01 20:10:08.043004
1.0,4.9,0.1,0.1,0.0,0.0115848250,0.1368650999,202805.1,2.0,3000.0,2021-06-01 20:10:09.111506
1.0,4.9,0.1,0.1,0.0,0.0115848250,0.1368650999,202805.1,2.0,3000.0,2021-06-01 20:10:09.462003
1.0,4.9,0.1,0.1,0.0,0.0115814409,0.1368650999,202805.1,2.0,3000.0,2021-06-01 20:10:10.518003
1.0,4.9,0.1,0.1,0.0,0.0115810085,0.1368650999,202805.1,2.0,3000.0,2021-06-01 20:10:11.571503
1.0,4.9,0.1,0.1,0.0,0.0115808034,0.1368650999,202805.1,2.0,3000.0,2021-06-01 20:10:12.071003
1.0,4.9,0.1,0.1,0.0,0.0115803670,0.1368650999,202805.1,2.0,3000.0,2021-06-01 20:10:13.142502
1.0,4.9,1057.4,877.5,0.0,0.0115799293,0.1368650999,202805.1,2.0,3000.0,2021-06-01 20:10:14.211503
1.0,4.9,1057.4,877.5,0.0,0.0115794414,0.1368650999,202805.1,2.0,3000.0,2021-06-01 20:10:14.772003
1.0,6.9,1057.4,877.5,0.0,0.0170083280,0.2014234335,298466.9,2.0,3000.0,2021-06-01 20:10:15.842504
1.0,7.1,1057.4,877.5,0.0,0.0170079055,0.2014234335,298466.9,2.0,3000.0,2021-06-01 20:10:16.894002
1.0,7.1,1057.4,877.5,0.0,0.0170076804,0.2014234335,298466.9,2.0,3000.0,2021-06-01 20:10:17.461502
1.0,10.8,3842.2,3361.0,48.9,0.1090775904,1.5745581565,614708.3,2.0,3000.0,2021-06-01 20:10:18.509005
1.0,10.8,3842.2,3361.0,50.0,0.1090775904,1.5745581565,614708.3,2.0,3000.0,2021-06-01 20:10:19.567504
1.0,10.8,3842.2,3361.0,50.4,0.1090775904,1.5745581565,614708.3,2.0,3000.0,2021-06-01 20:10:19.976002
1.0,10.8,3842.2,3361.0,51.5,0.1090775904,1.5745581565,614708.3,2.0,3000.0,2021-06-01 20:10:21.048002
1.0,10.8,3842.2,3361.0,52.7,0.1090804894,1.5745581565,614708.3,2.0,3000.0,2021-06-01 20:10:22.122005
1.0,10.8,3842.2,3361.0,53.0,0.1090803491,1.5745581565,614708.3,2.0,3000.0,2021-06-01 20:10:22.470002
1.0,10.8,5025.7,4426.4,102.1,0.2710587582,2.9638662615,1001640.0,2.0,3000.0,2021-06-01 20:10:23.630002
1.0,10.8,5025.7,4426.4,104.3,0.2982573873,3.3786539755,1053791.3,2.0,3000.0,2021-06-01 20:10:24.680502
1.0,11.7,5025.7,4426.4,105.6,0.2998229905,3.4025158770,1056421.8,2.0,3000.0,2021-06-01 20:10:25.360002
1.0,11.6,5025.7,4426.4,107.6,0.3022298474,3.4393423946,1060487.7,2.0,3000.0,2021-06-01 20:10:26.411002
1.0,11.6,5025.7,4426.4,109.6,0.3046504578,3.4763441098,1064572.8,2.0,3000.0,2021-06-01 20:10:27.468003
1.0,11.6,5025.7,4426.4,110.8,0.3060143434,3.4971926140,1066874.6,2.0,3000.0,2021-06-01 20:10:28.063502
1.0,14.0,7474.2,6751.3,118.7,0.6074910936,8.0147859688,1007313.5,2.0,3000.0,2021-06-01 20:10:29.110503
1.0,14.0,7474.2,6751.3,121.2,0.6074910936,8.0147859688,1007313.5,2.0,3000.0,2021-06-01 20:10:30.173503
1.0,14.0,8476.1,7659.3,123.7,0.6074910936,8.0147859688,1007313.5,2.0,3000.0,2021-06-01 20:10:31.248502
1.0,16.4,8476.1,7659.3,133.0,0.7108645324,9.5542979072,1140701.7,2.0,3000.0,2021-06-01 20:10:32.311503
1.0,16.6,10057.4,9188.1,135.7,0.7781964148,10.0934483799,1072871.7,2.0,3000.0,2021-06-01 20:10:33.369002
1.0,16.9,10057.4,9188.1,139.4,0.7781964148,10.0934483799,1072871.7,2.0,3000.0,2021-06-01 20:10:34.422503
1.0,17.1,10057.4,9188.1,143.2,0.7781964148,10.0934483799,1072871.7,2.0,3000.0,2021-06-01 20:10:35.478503
