,carga,cpu_throttled_seconds,cpu_usage_seconds,dropped_packets,file_descriptors,memory_usage_bytes,memory_working_bytes,pods,receive_packets,transmit_packets
328,9000.0,0.0,0.31708468075172414,0.0,105.56206896551724,34.0,14901604.6,17.0,2294.844827586207,1825.606896551724
329,10000.0,0.0,0.4108739737870967,0.0,149.63225806451615,34.0,20888349.45161291,17.0,3009.5419354838705,2405.6612903225805
330,11000.0,0.0,0.325764536437037,0.0,157.6888888888889,34.0,12662857.744444443,17.0,2455.059259259259,1935.6962962962964
331,12000.0,0.0,0.31253722125,0.0,174.17857142857142,34.0,8364319.910714286,17.0,2447.2678571428573,1944.3928571428573
332,13000.0,0.0,0.001107377772413793,0.0,0.0,34.0,271816.70000000007,17.0,0.2241379310344828,0.12413793103448274
333,14000.0,0.018762113460869565,0.23499664543913043,0.0,172.98695652173913,34.0,7879796.608695652,17.0,2304.0521739130436,1794.7478260869564
334,15000.0,0.10922737591666667,0.41516023470833335,0.0,341.30833333333334,34.0,35143372.74444445,17.0,4062.613888888888,3219.102777777778
335,16000.0,0.12999566949512195,0.4678894194512195,0.0,380.4512195121951,34.0,60898854.290243894,17.0,4397.095121951219,3433.3951219512196
336,17000.0,0.23337010008771933,0.6396678956684211,2.2245614035087717,510.2999999999999,34.0,109036782.42105263,17.0,5784.768421052632,4442.663157894737
337,18000.0,0.4041760710507936,0.6646135334222222,114.9349206349206,622.8492063492065,34.0,141485032.06825396,17.0,5851.333333333334,4449.046031746032
338,19000.0,0.48479744431093746,0.6338719593390624,283.6578124999999,631.2671875,34.0,106717525.06874998,17.0,6220.639062499999,4635.246875000001
339,20000.0,0.28551137771999996,0.6402466964430769,353.2307692307694,597.0553846153849,34.0,118449814.86153844,17.0,6246.698461538462,4596.173846153846
340,1000.0,0.0,0.3589553013933333,0.0,16.85666666666667,35.2,1763625.7233333332,18.0,2358.983333333333,1958.713333333333
341,2000.0,0.0,0.3695947174,0.0,30.800000000000004,36.0,8008625.186206898,18.0,2533.475862068965,2098.1413793103447
342,3000.0,0.0,0.3281788396344828,0.0,51.234482758620686,36.0,4749324.234482759,18.0,2163.603448275862,1783.6689655172415
343,4000.0,0.0,0.3758671745178571,0.0,73.50357142857142,36.0,16309222.039285716,18.0,2370.2142857142853,1948.707142857143
344,5000.0,0.0,0.38184762691428575,0.0,74.175,36.0,13178030.875,18.0,2538.8821428571423,2069.2035714285716
345,6000.0,0.0,0.35120775530666665,0.0,96.78333333333333,36.0,14275393.516666668,18.0,2511.8533333333335,2045.3499999999997
346,7000.0,0.0,0.40780720245,0.0,108.32,36.0,26820548.209999997,18.0,2611.7033333333334,2119.57
347,8000.0,0.0,0.4226929830806453,0.0,138.8967741935484,36.0,25565033.93548387,18.0,2968.2903225806454,2409.441935483871
348,9000.0,0.0,0.3976134484620689,0.0,149.25172413793103,36.0,24100524.19655173,18.0,2797.706896551724,2249.0758620689658
349,10000.0,0.0,0.4282982686399999,0.0,156.07000000000002,36.0,20847954.519999996,18.0,2893.446666666667,2338.3399999999997
350,11000.0,0.0,0.38913756373666664,0.0,184.70333333333338,36.0,15223432.57666667,18.0,2792.3333333333335,2222.973333333334
